,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Georgia,Georgia,GPE,-0.05,0.1,en,1,-1,,,,,
Washington,Washington,GPE,0.19999999999999998,0.2833333333333334,en,1,-1,,,,,
Mandeville Canyon,Mandeville Canyon,LOC,0.25,0.75,en,1,-1,,,,,
LA,LA,GPE,0.0,0.0,en,1,-1,,,,,
South Australia,South Australia,LOC,0.04545454545454545,0.41818181818181815,en,1,-1,,,,,
Victoria,Victoria,GPE,0.04545454545454545,0.41818181818181815,en,1,-1,,,,,
SA,SA,GPE,-0.125,1.0,en,1,-1,,,,,
Vic,Vic,GPE,-0.125,1.0,en,1,-1,,,,,
Typhoon Halong's,Typhoon Halong's,GPE,-0.16666666666666666,0.13333333333333333,en,1,-1,,,,,
Typhoon Halong’s,Typhoon Halong’s,GPE,-0.125,0.125,en,1,-1,,,,,
Ozarks,Ozarks,GPE,0.21428571428571427,0.42857142857142855,en,1,-1,,,,,
Kan.,Kan.,GPE,0.075,0.64,en,1,-1,,,,,
Casterton,Casterton,GPE,0.125,0.33125,en,1,-1,,,,,
the southeast Bay,the southeast Bay,LOC,0.13333333333333333,0.4666666666666666,en,1,-1,,,,,
Odisha,Odisha,GPE,0.13333333333333333,0.4666666666666666,en,1,-1,,,,,
Kununurra,Kununurra,GPE,0.0,0.0,en,1,-1,,,,,
Western Australia's,Western Australia's,LOC,0.025,0.45,en,1,-1,,,,,
the Great Lakes region,the Great Lakes region,LOC,0.2787878787878788,0.5348484848484848,en,1,-1,,,,,
Kerala,Kerala,GPE,0.09166666666666667,0.425,en,1,-1,,,,,
Fayetteville,Fayetteville,GPE,-0.30476190476190473,0.6785714285714285,en,1,-1,,,,,
Maine,Maine,GPE,-0.05,0.1,en,1,-1,,,,,
thun,thun,GPE,0.0,0.0,en,1,-1,,,,,
Southeast Bay,Southeast Bay,LOC,0.0,0.65,en,1,-1,,,,,
Apache Junction,Apache Junction,LOC,0.0,0.0,en,1,-1,,,,,
Mula,Mula,GPE,0.09999999999999999,0.6666666666666666,en,1,-1,,,,,
Andhra Pradesh,Andhra Pradesh,GPE,0.4333333333333333,0.7333333333333333,en,1,-1,,,,,
Vermonta,Vermonta,GPE,0.0,0.0,en,1,-1,,,,,
Melbourne,Melbourne,GPE,0.08541666666666665,0.4083333333333334,en,1,-1,,,,,
Rayalaseema,Rayalaseema,GPE,-0.15000000000000002,0.45,en,1,-1,,,,,
Louisiana,Louisiana,GPE,0.1,0.4,en,1,-1,,,,,
Bernice,Bernice,GPE,0.1,0.4,en,1,-1,,,,,
Kakinada,Kakinada,GPE,0.016666666666666666,0.5333333333333333,en,1,-1,,,,,
Kalingapatnam,Kalingapatnam,GPE,0.016666666666666666,0.5333333333333333,en,1,-1,,,,,
Machilipatnam,Machilipatnam,GPE,0.016666666666666666,0.5333333333333333,en,1,-1,,,,,
Wakayama Prefecture,Wakayama Prefecture,GPE,0.06628787878787878,0.40151515151515155,en,1,-1,,,,,
OzAsia,OzAsia,GPE,0.0,0.0,en,1,-1,,,,,
Coachella Valley,Coachella Valley,LOC,-0.1,0.4,en,1,-1,,,,,
the West Coast,the West Coast,LOC,0.175,0.31666666666666665,en,1,-1,,,,,
Oregon,Oregon,GPE,0.0,0.0,en,1,-1,,,,,
Southern Plains,Southern Plains,LOC,0.0,0.5,en,1,-1,,,,,
Northern Cal,Northern Cal,LOC,0.0,0.0,en,1,-1,,,,,
Mesa,Mesa,GPE,0.0,0.0,en,1,-1,,,,,
Scottsdale,Scottsdale,GPE,0.0,0.0,en,1,-1,,,,,
Fountain Hills,Fountain Hills,GPE,0.0,0.0,en,1,-1,,,,,
NWS,NWS,GPE,0.0,0.0,en,1,-1,,,,,
Mumbai,Mumbai,GPE,0.1,0.175,en,1,-1,,,,,
